time,open,high,low,close,volume,normalize,rescale,n_rsi,n_cci,n_wt,n_adx,my_trSmooth,regime_filter,filter_adx,filter_volatility,rational_quadratic,currentWeight,gaussian
2023-07-20T23:30:00Z,29813.14,29813.15,29789.65,29806.98,124.89081,0.8769333351800225,331.07755555555553,0.5036141862814381,0.52091027123665,0.4265083259343947,0.19495825048480575,505.0753355975511,0,1,0,29787.955221774933,408297.2300834005,29778.206439390287
2023-07-20T23:45:00Z,29806.99,29808.28,29791.55,29800,394.72271,0.8764729819479536,331,0.5024976696083854,0.4735920063436741,0.40350781278974546,0.17871300959817782,471.2978020377955,0,1,0,29789.666539291255,408320.6867522623,29780.9140131113
2023-07-21T00:00:00Z,29800,29820.34,29792,29792.01,251.04717,0.8759460159989235,330.9112222222222,0.4993816703687035,0.4245319317756359,0.3626333480292084,0.16559144546570503,452.5080218340161,0,1,0,29790.822584931484,408336.5324264364,29783.35779562101
2023-07-21T00:15:00Z,29792,29820,29771.34,29775,587.60173,0.8748241523202,330.72222222222223,0.49213985701465474,0.3538764471729964,0.303422374477935,0.15774613768653106,455.91721965061436,0,1,1,29789.676025749,408320.81678114115,29783.68023910905
2023-07-21T00:30:00Z,29775,29825.51,29726.34,29824.01,267.45829,0.8780565179224481,331.26677777777775,0.49941396728907167,0.4110101004536194,0.4787856560142733,0.1723438812227158,509.4954976855512,0,1,1,29792.443690185275,408358.7525748107,29787.070789756755
2023-07-21T00:45:00Z,29824.01,29835,29785.79,29786.01,216.50228,0.8755502968882626,330.84455555555553,0.495886995997345,0.37715052858281206,0.4403329764744662,0.17861554282916095,507.7559479169952,0,1,0,29792.39438344567,408358.07673771295,29788.335502076407
2023-07-21T01:00:00Z,29786.01,29814,29760,29792.28,298.46839,0.8759638233589032,330.91422222222224,0.4944986880174744,0.3682726339378455,0.439535883212921,0.19475576681771464,510.98035312529566,0,1,1,29794.3854957506,408385.36849482876,29791.767314298228
2023-07-21T01:15:00Z,29792.28,29899,29788.48,29865.99,330.97295,0.8808252326333722,331.73322222222225,0.5094630393660952,0.48723169409090156,0.6380529970383967,0.18609256367219834,570.4023178127666,0,1,1,29800.02454040758,408462.66169258667,29796.94560045512
2023-07-21T01:30:00Z,29866,29871.9,29828.44,29862.02,143.59201,0.8805633984884849,331.6891111111111,0.5214196830338608,0.5506834341097953,0.7128087884181303,0.17829568084123373,556.8220860314926,0,0,0,29805.910737077797,408543.34255094983,29802.493125404835
2023-07-21T01:45:00Z,29862.03,29895,29824,29877.48,311.55499,0.8815830347302877,331.8608888888889,0.5348545915427387,0.5990840561271229,0.7127758228319567,0.1802762041931114,572.1398774283434,0,0,1,29812.63654463002,408635.5317788844,29808.51169000681
